row,item_id,candidate,field,annotator,email_subject,reference_value,candidate_value,output_sha256,owner_initial,second_initial,verdict,critique
1,cal-005,b,issue_summary,owner,About my rain poncho order,"Customer's Horizon Rain Poncho (order ORD-30004) is too snug to fit over a jacket, and they want to exchange it for a larger size rather than receive a refund.","The customer says the Horizon Rain Poncho from order ORD-30004 arrived, but it is too snug to fit over a jacket. She prefers to exchange it for a size large instead of returning it for a refund.",37f5f6da39e303741d0dc1e76210a0fde64494fdd620590e006d4e1f0ff1226c,pass,fail: Candidate is assuming gender,pass,"Candidate did assume gender however, our golden set references have made similar assumptions because this wasn't a stated rule. That being said, we shouldn't assume gender and this should be made clear in our rubric before failing any candidate items."
2,cal-005,b,requested_action,owner,About my rain poncho order,Exchange the Horizon Rain Poncho from order ORD-30004 for a size large.,Determine whether a size-large exchange is possible and tell her what she needs to do next to complete the swap.,b11effeb3cc226deebfcfa37bef99c3505058125fd80071c51e48dbe301f505c,pass,fail: Candidate is assuming gender,pass,"Candidate did assume gender however, our golden set references have made similar assumptions because this wasn't a stated rule. That being said, we shouldn't assume gender and this should be made clear in our rubric before failing any candidate items."
3,cal-008,b,requested_action,owner,Re: Re: Re: Order status,Provide an update on the delayed order.,The customer wants an update on the status of order ORD-30007 and wants support to resolve the shipping delay. He is asking for progress information and for the team to circle back with concrete news as soon as possible.,14f65b66ef28e032d559077b1dd28887aeb125a48ce0e88ce9c8f61e2915fa3b,pass,fail: Candidate is assuming gender,pass,"Candidate did assume gender however, our golden set references have made similar assumptions because this wasn't a stated rule. That being said, we shouldn't assume gender and this should be made clear in our rubric before failing any candidate items."
4,cal-014,b,issue_summary,owner,Need my down vest before I leave,Order ORD-30013 (Alpenglow Down Vest) has shown no tracking movement for four days and the customer needs it before their trek on July 21st.,The customer's Alpenglow Down Vest from order ORD-30013 is still with the carrier and tracking has been stuck on 'label created' for four days with no further scans. He needs it delivered before his upcoming trip.,18169c2de62191581500a7ceca5613928779df1e48716ed0775810e080cb1b17,pass,fail: Candidate is assuming gender,pass,"Candidate did assume gender however, our golden set references have made similar assumptions because this wasn't a stated rule. That being said, we shouldn't assume gender and this should be made clear in our rubric before failing any candidate items."
5,cal-014,b,requested_action,owner,Need my down vest before I leave,Look into the shipment and ensure it arrives before July 21st.,"Investigate the shipment status and get the package moving so it arrives before he leaves for his trek on Tuesday, July 21st.",233295fcea57b113478eaea864b06693b65267f6f845f9db890dc1af8ab4a779,pass,fail: Candidate is assuming gender,pass,"Candidate did assume gender however, our golden set references have made similar assumptions because this wasn't a stated rule. That being said, we shouldn't assume gender and this should be made clear in our rubric before failing any candidate items."
6,cal-027,a,requested_action,owner,Need this before my permit window opens - Order ORD-30023,Check on the shipment and ensure it arrives before the permit window opens.,Check on the order status and note that the shipment is on track to arrive well before the permit window opens.,ca54e9dd8d46ff378a98dc3fb97e389d56a7c4f2b4004be82a520be0f6fd1027,fail: The shipment status needs to be checked to ensure the package arrives on time. The candidate omits the essential information and suggests simply noting that the shipment is on time without verifying,pass,fail,The candidate omits essential information and suggests simply stating that the shipment is on time without verifying
7,cal-029,a,requested_action,owner,Charged twice for my tent order,Refund the duplicate charge.,Investigate the duplicate charge on the customer's account.,9c3c5bb56acca44470a4c039f5b47d8c2bbff198ea3a52e322ddd1258938a9af,"fail: The action should be to refund the duplicate charge, not just investigate it",pass: The only thing the customer is saying is that they want a refund of the duplicate charge,fail,Both annotators agree that the candidate failed to mention that the refund for the duplicate charge should be processed. Second annotator just selected the wrong verdict but their critique shows that they agree this is a fail
8,cal-034,a,issue_summary,owner,Two orders arrived in the same box -- only one's a problem,One of the Switchback Trekking Poles from order ORD-30029 won't lock at any length because the twist-lock collar spins freely instead of gripping the inner shaft.,"One of the Switchback Trekking Poles from order ORD-30031 has a defective twist-lock collar that spins freely instead of gripping the inner shaft, making the pole unusable.",63d079dd9c30a4b6ffba55a69e9daf411974a6ef10587f29a00b84429969ba09,fail: Wrong order number,pass,fail,The order number in the candidate summary is wrong
9,cal-035,a,issue_summary,owner,Re: Return for Longtrail Duffel Bag 90L,Customer changed their mind about returning the Longtrail Duffel Bag 90L (order ORD-30030) and instead wants a refund of a $15 difference between what they were charged and the current listed price.,Colette wants to return the Longtrail Duffel Bag 90L and also receive a $15 refund for being overcharged.,6e8b952d313dc0a2572e681a6b1f691d679525ea4b03e70eeee4b1dd6317a3aa,"fail: The summary is wrong, the customer does not want to return their duffel bag","pass: The customer wasn't overcharged, what the email says is that the price changed on their site so they want a refund of the difference.",fail,Second annotator missed that the candidate summary says the customer wants to return the duffel bag when they ultimately decided to to return it
10,cal-027,b,issue_summary,owner,Need this before my permit window opens - Order ORD-30023,"Order ORD-30023 (Ridgetop Bear Canister) has shown no tracking movement for four days and the customer needs it before their backcountry permit window opens Monday, July 20th.","Delphine Rousseau says her Ridgetop Bear Canister order ORD-30023 has not moved on tracking for four days and needs to arrive before her backcountry permit window opens on Monday, July 20th. She is concerned it may not arrive in time for her trip requirement.",59c9c8ba94156f0052ae64769d6683ec363ca978497dda9906a29e9dea33b98f,"fail: The customer never directly mentions being concerned, this is an assumption",pass: Candidate is assuming gender,pass,"Regarding the ""is concerned"" assumption: everything in the candidate summary is grounded in the email, nothing was hallucinated. Regarding the gender assumption: Candidate did assume gender however, our golden set references have made similar assumptions because this wasn't a stated rule. That being said, we shouldn't assume gender and this should be made clear in our rubric before failing any candidate items."
