row,item_id,candidate,field,annotator,email_subject,reference_value,candidate_value,output_sha256,verdict,critique
1,cal-001,a,issue_summary,owner,Charged twice for my Granite Hip Pack order,"Customer was charged twice for order ORD-30001 (Granite Hip Pack 20L), two identical $54.00 charges on the same day.","The customer was charged twice for order ORD-30001, with two identical charges of $54.00 posted on the same day.",5e6bb3c81a98d2d97e27d520356dd097fed71ad9a932b51021177567d8ae116f,pass,
2,cal-001,a,requested_action,owner,Charged twice for my Granite Hip Pack order,Refund the duplicate charge.,Refund the extra charge from the duplicate transaction.,56e677160d71a33ef645cb07efc1939c25f43b07de797e2231bf26ff2a76b181,pass,
3,cal-002,a,issue_summary,owner,Can't reset my Ridgeline account password,Customer cannot reset their Ridgeline account password; the reset emails they requested never arrive.,Customer cannot reset their Ridgeline account password; the password reset email is not arriving despite multiple requests and checking spam folder.,ac192f09b6d3fcf3b922b4b83600f044b6ab1d4380226ed4f15ebc6e783b7e8f,pass,
4,cal-002,a,requested_action,owner,Can't reset my Ridgeline account password,Help restore the customer's access to their account.,Regain access to the Ridgeline account by resolving the password reset issue.,b9a42452438f9b62f763a84dbf637d67dbb18fa6b0db751a2fa504acdc116bc9,pass,
5,cal-003,a,issue_summary,owner,Still waiting on my refund,Customer's refund for the returned Basecamp Cook Set (order ORD-30002) has not posted three weeks after the return was confirmed received.,"Customer returned the Basecamp Cook Set from order ORD-30002 on June 18th and received confirmation of receipt, but the refund has not appeared on their card after three weeks.",597e53cb7347f697ac51d0820d16afd6130280c2356c0b80599b6cdf365c6394,pass,
6,cal-003,a,requested_action,owner,Still waiting on my refund,Process the pending refund for the returned item.,Process and complete the refund for the returned Basecamp Cook Set at the earliest convenience.,871f1ca1b875f59076cfd68b4287453fba46827495eac56cc87c72b43d41d807,pass,
7,cal-004,a,issue_summary,owner,Checking on a shipment plus a gaiter question,Order ORD-30003 (Ridgeline Trail Gaiters) was marked shipped nine days ago but the carrier's tracking shows no scan since then.,"Order ORD-30003 was marked as shipped nine days ago, but the carrier's tracking page shows no scan activity since then, and the customer is uncertain of the package's current location.",11aeaaa844117b4db3728502df60f32d938b9d95519121cd9bc04d0efdc7e1fb,pass,"""the customer is uncertain of the package's current location"" is implied because the customer never directly stated this in the email but the statement was correctly derived from the email and doesn't make the issue_summary incorrect"
8,cal-004,a,requested_action,owner,Checking on a shipment plus a gaiter question,Look into where the shipment actually is.,Look into the shipment status and determine where the order actually is.,778a105e7f0e17ec9ad2f11f3c470a3f0fa857830e9ad3451260e7213f2d6c75,pass,
9,cal-005,a,issue_summary,owner,About my rain poncho order,"Customer's Horizon Rain Poncho (order ORD-30004) is too snug to fit over a jacket, and they want to exchange it for a larger size rather than receive a refund.",The Horizon Rain Poncho is too snug to fit over a jacket as needed.,1b5bfce659fb9957d868b0c121199e042da380b381dba8e08c3d9665c95e301b,pass,No mention of wanting to exchange vs receiving a refund but the core summary is still correct
10,cal-005,a,requested_action,owner,About my rain poncho order,Exchange the Horizon Rain Poncho from order ORD-30004 for a size large.,Exchange the poncho for a size large.,6e4ac8f89c7ec56937233dc4a6f8dbe388625131382fd371bf92d443ec37ac4b,pass,
11,cal-006,a,issue_summary,owner,Re: Options for your cracked bear canister,Customer's Ridgetop Bear Canister (order ORD-30005) arrived with a cracked lid seal and they are accepting the offered replacement.,The Ridgetop Bear Canister arrived with a cracked lid seal.,8d0b6baa12ddaa7e51c8a9b23b372a186c8844b45afe191f752d96a059d67252,pass,
12,cal-006,a,requested_action,owner,Re: Options for your cracked bear canister,"Ship a replacement Ridgetop Bear Canister at no charge, per the option the customer selected.",Send a replacement canister at no charge.,0fdbc029ea13591e34c90ceaedd85b644da4839bf52d336e7341f6345fe5bbb1,pass,
13,cal-007,a,issue_summary,owner,Re: Return for Wayfinder GPS Watch,Customer changed their mind about returning the Wayfinder GPS Watch (order ORD-30006) and no longer wants to send it back.,"Customer originally requested a return for the Wayfinder GPS Watch due to display brightness concerns, but has now decided to keep the watch instead.",725a60729a151a006d4ff406132d4cbc02711235211555985e9187096a2b1af4,pass,
14,cal-007,a,requested_action,owner,Re: Return for Wayfinder GPS Watch,Issue store credit for the watch's value instead of processing the return; the customer will keep the watch.,Apply store credit for the full purchase price of the Wayfinder GPS Watch rather than processing a return.,7b8c5fda765b82e7db7bd75a62638294c8bc784d0549363694e18e94920ca005,pass,
15,cal-008,a,issue_summary,owner,Re: Re: Re: Order status,Customer is following up on a shipping delay for order ORD-30007 (Switchback Trekking Poles) with no progress reported.,"Order ORD-30007 has been awaiting shipment with no tracking progress for several days, and the customer has not received an update on the fulfillment status.",5225251d3b3090b6f1b8f264145bfae1095e4ba625a4add8d9b318bfc4087be3,pass,
16,cal-008,a,requested_action,owner,Re: Re: Re: Order status,Provide an update on the delayed order.,Provide an update on the order status and resolve the shipping delay.,a59e7914bf8bdac2ec28fa53c38ca0e7646515646c0001ad0420a97e71165cc5,pass,
17,cal-009,a,issue_summary,owner,Re: Re: Order ORD-30008 update,"Customer is following up on a shipping delay for order ORD-30008 (Cairn Daypack 30L), with no ship date a week after the last update.","Order ORD-30008 for the Cairn Daypack 30L has not yet shipped after a week, and the customer has not received a ship date despite a previous support response indicating a follow-up would occur within a few business days.",feb89f23427340fd794950a8a9f889760e95ae24e117aa0ec4f7f552190755e6,pass,
18,cal-009,a,requested_action,owner,Re: Re: Order ORD-30008 update,Provide an update on the delayed order.,Provide an update on the order status and ship date for order ORD-30008.,83dcb7f62b13b8d5df02ae5477b78c108771131b28fd98168086dffaba1f2a10,pass,
19,cal-010,a,issue_summary,owner,Question and quick issue before my trip,The flint striker handle on the Cinder Fire Starter Kit (order ORD-30009) is cracked and may fail with further use.,"The flint striker on the Cinder Fire Starter Kit has a crack running through the handle, which poses a risk of breaking during use.",dd8feb827c3dc32fbc8ba32b1b115b926080f1e94409736b87be65473afdcbd7,pass,
20,cal-010,a,requested_action,owner,Question and quick issue before my trip,Send a replacement Cinder Fire Starter Kit.,Send a replacement fire starter kit before the customer's backcountry trip in a few weeks.,7bf58aef00a0cfad5146d0342c83cb3e497827ea56a7702d1767a4b9b4a2405d,pass,
21,cal-011,a,issue_summary,owner,Question about my long order history + today's delivery,The Overlook Binoculars from order ORD-30010 arrived without the rubber eyepiece cover that should have been included.,"The Overlook Binoculars arrived in order ORD-30010, but the rubber eyepiece cover that should have been included in the box was missing.",40ff735a3b9e3fdeaacc7c717f5c3971109c3f8fc05766c443cb13ed9d15d1db,pass,
22,cal-011,a,requested_action,owner,Question about my long order history + today's delivery,Send the missing rubber eyepiece cover for the binoculars.,Send the missing rubber eyepiece cover separately.,b5733f404cf9b4b00b80528751bf6c032fb2049771be09912ec6503e6da57b39,pass,
23,cal-012,a,issue_summary,owner,Two problems with my sleeping bag - Order ORD-30011,The Meridian 3-Season Sleeping Bag (order ORD-30011) has two defects: the zipper pull has snapped off and there is a hole in the outer shell fabric near the footbox.,The Meridian 3-Season Sleeping Bag arrived with a snapped zipper pull that prevents closing the bag and a small hole in the outer shell fabric near the footbox that appears to be a manufacturing defect.,d8665bf5fbd27c872ea3ef70c8ca970b5973d4b8197b609f1b6f95fe3f405d19,pass,
24,cal-012,a,requested_action,owner,Two problems with my sleeping bag - Order ORD-30011,Send a replacement sleeping bag or advise on other available options.,Send a replacement bag or provide information about other available options to resolve the defects.,d451e4e234df3d44d00db9a6e6bbebae3d563f8e30f1bc6385f3179e5d5a5f19,pass,
25,cal-013,a,issue_summary,owner,Order ORD-30012 - late and incomplete,Order ORD-30012 (Timberline Fleece Jacket) arrived about a week late and is missing the detachable hood that should have come with it.,"The detachable hood that should come attached to the Timberline Fleece Jacket was missing from the package, making the jacket unusable in wet weather.",8ae44567f6670a613660f5481c0bb1c3cd817b19ae073eaf609c6fff1b5c240f,pass,
26,cal-013,a,requested_action,owner,Order ORD-30012 - late and incomplete,Send the missing detachable hood for the jacket.,Send the missing hood as soon as possible.,efd962b7396ea5dad88cf5a160348054ba1ff702f07215afa5b48363646d7572,pass,
27,cal-014,a,issue_summary,owner,Need my down vest before I leave,Order ORD-30013 (Alpenglow Down Vest) has shown no tracking movement for four days and the customer needs it before their trek on July 21st.,"The Alpenglow Down Vest from order ORD-30013 is stuck in transit with the carrier showing 'label created' status for four days with no progress, and the customer needs it before departing for a high-altitude trek on Tuesday, July 21st.",75a47a38262c1a350c622edb0bcc9f9705907216bfc64de63982ff8bba973754,pass,
28,cal-014,a,requested_action,owner,Need my down vest before I leave,Look into the shipment and ensure it arrives before July 21st.,"Investigate the shipment status and ensure the vest is delivered before the customer's departure on Tuesday, July 21st.",320697a81f0da34ff2cca6d2691d1940df1f06875beb800831b2af93ff6adc21,pass,
29,cal-015,a,issue_summary,owner,This is my second email about order ORD-30014,Customer was charged twice for order ORD-30014 (Frostline Insulated Gloves) and has not received a refund despite a prior email.,The customer was charged $64.99 twice for the same pair of Frostline Insulated Gloves and has not received a refund for the duplicate charge.,69d77d850d372440f23a8650cb128b375bc2e0477f15418c60f64c9368b703f9,pass,
30,cal-015,a,requested_action,owner,This is my second email about order ORD-30014,Refund the duplicate charge.,Refund the duplicate charge.,26b50484f75f8f6dda1e72fbf2d32ae35f1c62525a12735732b1ef679f47d0d7,pass,
31,cal-016,a,issue_summary,owner,Wrong size received,Customer received the wrong size (10 instead of 8) for their Talus Hiking Boots on order ORD-30015.,Customer ordered Talus Hiking Boots in size 8 but received size 10 instead.,c95692d806ab049fc4d6311980dfb1e707dce91a1f56dec680efbcf2bbf7cfa7,pass,
32,cal-016,a,requested_action,owner,Wrong size received,Send the correct size (8) of the Talus Hiking Boots.,Send the correct size (size 8) to the customer.,30895e826a93b1b9a7d24844644dff93723cd755bf7e024c980f49f104133a52,pass,
33,cal-017,a,issue_summary,owner,Order ORD-30016 - on behalf of my father,The sleeve seam on Osric Vane's Windward Packable Windbreaker (order ORD-30016) has come apart at the cuff.,The sleeve seam has come apart at the cuff on the Windward Packable Windbreaker.,e0c09c53610c46592a0377c0b85e7654e6135a6ef4ee20ba543498cfe90936a5,pass,
34,cal-017,a,requested_action,owner,Order ORD-30016 - on behalf of my father,Send a replacement Windward Packable Windbreaker.,Provide a replacement for the defective windbreaker and let the customer know the next steps.,a6641867ee5fa0f5df4912e5608722d7733ef40497f194fe6fdd5f1f29fc7c87,pass,
35,cal-018,a,issue_summary,owner,Question before I order a Northstar Headlamp,"Customer is asking, before purchasing, what battery type the Northstar Headlamp uses and its expected battery life on the high setting.",Customer is inquiring about the battery specifications and runtime of the Northstar Headlamp before placing an order.,913a33b57a2f27fdc25ac5940d1e492729d81bb46d3d99a399922dd8cca97018,pass,
36,cal-018,a,requested_action,owner,Question before I order a Northstar Headlamp,Confirm the Northstar Headlamp's battery type and expected battery life on the high setting.,Provide information on whether the Northstar Headlamp uses AA or AAA batteries and how many hours of battery life to expect on the high setting.,96fad61e720039249ff746acf0d3f9c4a168ed0adffef6e5962a6c92b1389200,pass,
37,cal-019,a,issue_summary,owner,Problem with part of my order ORD-30017,The underarm seam on the Juniper Base Layer Top from order ORD-30017 has unraveled after one wash despite following care instructions.,"The seam along the underarm of the Juniper Base Layer Top has started to unravel after one wash, despite following care instructions exactly.",c00a4a5ce838b2c1724c39759d76770cb00f3f216cf24b48ff3f21460def82c1,pass,
38,cal-019,a,requested_action,owner,Problem with part of my order ORD-30017,Send a replacement Juniper Base Layer Top.,Send a replacement Juniper Base Layer Top.,4c1079f5a223a4a9a74cae0316525cd809995b66a1d4191ed0af7b0135d3b9cd,pass,
39,cal-020,a,issue_summary,owner,Quick question about my camp chair,"Customer's Driftwood Camp Chair (order ORD-30018) feels uneven, with the seat fabric loose on one side, and they are asking whether that's normal or if they should request a replacement.","The seat fabric on the Driftwood Camp Chair feels loose on one side, with the frame appearing to be seated unevenly.",f00de968b12904438df32dfa8c38337b240587b1c5665873b9f25768acd4b226,pass,
40,cal-020,a,requested_action,owner,Quick question about my camp chair,Advise whether the unevenness is normal or arrange a replacement chair.,Determine if the uneven seating is normal for these chairs or if a replacement should be provided.,690bace73d7ee0f7b3411c4559b87a80829967ad1177a64d84f806d4bf6297d7,pass,
41,cal-021,a,issue_summary,owner,Issue with my fire starter kit (ORD-30019),"The accelerant gel cartridge in the Cinder Fire Starter Kit (order ORD-30019) is cracked and has been slowly leaking flammable gel inside the customer's pack, a fire hazard.","The accelerant gel cartridge in the Cinder Fire Starter Kit has a hairline crack and is slowly leaking flammable gel, creating a safety hazard in the customer's gear pack.",5491bb018834e046f38af87bc33b3c0b24560d516121967454e24ff0b6b18e35,pass,
42,cal-021,a,requested_action,owner,Issue with my fire starter kit (ORD-30019),Send a replacement fire starter kit.,Replace the leaking accelerant gel cartridge so the customer can safely carry the kit on their next trip.,0f4f418cde8c6ddf5e5fc08f7f07b8c39010dc98004105a3f8d0a9779e06989e,pass,
43,cal-022,a,issue_summary,owner,ABSOLUTELY RIDICULOUS - SCRATCHED STOVE - ORD-30020,"Customer received an Ember Camp Stove (order ORD-30020) with a deep cosmetic scratch across the top panel, though the stove still lights and functions correctly.","The Ember Camp Stove arrived with a deep scratch across the top panel, which is cosmetically unacceptable despite the product functioning correctly.",5d2961d8b1afa88e4d6c21cf081954128d478a2261a9c42b56380a32e7c9f5b3,pass,
44,cal-022,a,requested_action,owner,ABSOLUTELY RIDICULOUS - SCRATCHED STOVE - ORD-30020,Send an immediate replacement stove and provide a return label for the scratched one.,Send a replacement stove immediately and include a return label for the scratched unit.,8b64d5bd7d4ece22d96c928589d2e75f91988c917d0a6d136a0d96ec74949e9b,pass,
45,cal-023,a,issue_summary,owner,Just a heads up about my headlamp,"The battery compartment on the Northstar Headlamp (order ORD-30021) sparked and became noticeably warm on two occasions, an electrical hazard.","The battery compartment of the Northstar Headlamp becomes noticeably warm and produces a small spark when the cover is clicked shut, a hazardous condition that has occurred repeatedly.",e7389a36f7b3a1f53fcc5433dea4bf76bd5e9174b623dbe4b8652c7e7c80c98d,pass,
46,cal-023,a,requested_action,owner,Just a heads up about my headlamp,Advise on next steps -- repair or replacement -- for the headlamp.,Provide a recommendation on whether the headlamp should be repaired or replaced.,81db41854c355af74e95c037b868bfe98e1df17a410b01f289d39795d7d43153,pass,
47,cal-024,a,issue_summary,owner,Question about warranty registration,Customer is asking whether Ridgeline requires product registration to activate the warranty or whether the warranty applies automatically based on the purchase receipt.,Customer is asking whether Ridgeline requires product registration to activate the warranty or if the warranty is automatic based on the purchase receipt.,7c33ef5c8c0aad5cecf25b35e2b669f0707f252e71c182a96673b5b38f73fd91,pass,
48,cal-024,a,requested_action,owner,Question about warranty registration,Explain whether warranty coverage requires registration or is automatic based on the receipt.,Provide clarification on Ridgeline's warranty activation process before the customer makes a purchase.,c70e877b0add729536819e60edd2f852a93df5c1565e567e918fc64962b2379a,pass,
49,cal-025,a,issue_summary,owner,Need this before my flight - Order ORD-30022,Order ORD-30022 (Meridian 3-Season Sleeping Bag) has not updated in tracking for four days and the customer needs it before their flight on July 22nd.,"Order ORD-30022 tracking has not updated for four days despite payment being made in full, and the customer needs the sleeping bag before their flight on July 22.",5c3fb6157ce49060f4441c03c3c2bde910538de2be2734532f5f7962d31718be,pass,
50,cal-025,a,requested_action,owner,Need this before my flight - Order ORD-30022,Look into the shipping delay and ensure the order ships in time for July 22nd.,"Investigate the shipping delay and ensure the order ships in time for the customer's flight departure next Wednesday, July 22.",0fcfdda80f9b8af47cf1ee96d7f1122581e3d1ff5a1ab48ff60f344ad24ba7aa,pass,
51,cal-001,b,issue_summary,owner,Charged twice for my Granite Hip Pack order,"Customer was charged twice for order ORD-30001 (Granite Hip Pack 20L), two identical $54.00 charges on the same day.","The customer says their card was charged twice for order ORD-30001 for the Granite Hip Pack 20L, with two identical $54.00 charges posted on the same day.",fab8082ed9954f11341bccec5f68a4594bba6e49b6d8ef3d1dd2198e61e3cf00,pass,
52,cal-001,b,requested_action,owner,Charged twice for my Granite Hip Pack order,Refund the duplicate charge.,The customer wants the extra charge refunded.,cd355ec502006abaf8b63bf2c74cf12da4474d8e5173156cf60d6e5b08c3d51f,pass,
53,cal-002,b,issue_summary,owner,Can't reset my Ridgeline account password,Customer cannot reset their Ridgeline account password; the reset emails they requested never arrive.,"Corbin Aldridge cannot reset his Ridgeline account password because the password reset email never arrives, even after multiple requests and checking spam. He has been unable to regain access for two days.",d7914e6ef2dbfd4ff0030b65ed1c898c558f469494d82233b8dd2459e1fb3d2c,pass,
54,cal-002,b,requested_action,owner,Can't reset my Ridgeline account password,Help restore the customer's access to their account.,He wants support to help him reset his password and regain access to his Ridgeline account. He is asking for assistance resolving why the reset email is not being delivered.,43cb21f395ae1a958ef672999c6c516891eb6fc31a78338687987dfe056b5385,pass,
55,cal-003,b,issue_summary,owner,Still waiting on my refund,Customer's refund for the returned Basecamp Cook Set (order ORD-30002) has not posted three weeks after the return was confirmed received.,"The customer returned a Basecamp Cook Set from order ORD-30002 on June 18th and was told the return was received, but the refund has not appeared on their card after three weeks. They are following up on the delayed refund.",d5ac4217ed90f402b60953e3c3ed6ac8f2f590226cf26d93f3996e4fe000cee9,pass,
56,cal-003,b,requested_action,owner,Still waiting on my refund,Process the pending refund for the returned item.,The customer wants the refund processed and posted to their card as soon as possible. They are asking support to move the refund forward and resolve the delay.,bd8f3fc94ae5d886ca6806fe992720d6fbb51a2c50df872ddcd002c562e46405,pass,
57,cal-004,b,issue_summary,owner,Checking on a shipment plus a gaiter question,Order ORD-30003 (Ridgeline Trail Gaiters) was marked shipped nine days ago but the carrier's tracking shows no scan since then.,"The customer says order ORD-30003 for Ridgeline Trail Gaiters was marked shipped nine days ago, but the carrier tracking still shows no scan since then. He is concerned about where the shipment actually is.",5be3e253ce74273a27b5d42f3241baea47e3d2d48206f87121445cfbf9b1b646,pass,"""He is concerned"" is implied because the customer never says that but it could be argued that this is true and it doesn't make the summary wrong"
58,cal-004,b,requested_action,owner,Checking on a shipment plus a gaiter question,Look into where the shipment actually is.,He wants someone to investigate the shipment status and determine where the package is currently located.,044ffeee3c627c2049beaa09384a957bc00bf0b8fcf5eeb289732559d1772956,pass,
59,cal-005,b,issue_summary,owner,About my rain poncho order,"Customer's Horizon Rain Poncho (order ORD-30004) is too snug to fit over a jacket, and they want to exchange it for a larger size rather than receive a refund.","The customer says the Horizon Rain Poncho from order ORD-30004 arrived, but it is too snug to fit over a jacket. She prefers to exchange it for a size large instead of returning it for a refund.",37f5f6da39e303741d0dc1e76210a0fde64494fdd620590e006d4e1f0ff1226c,pass,
60,cal-005,b,requested_action,owner,About my rain poncho order,Exchange the Horizon Rain Poncho from order ORD-30004 for a size large.,Determine whether a size-large exchange is possible and tell her what she needs to do next to complete the swap.,b11effeb3cc226deebfcfa37bef99c3505058125fd80071c51e48dbe301f505c,pass,
61,cal-006,b,issue_summary,owner,Re: Options for your cracked bear canister,Customer's Ridgetop Bear Canister (order ORD-30005) arrived with a cracked lid seal and they are accepting the offered replacement.,The customer’s Ridgetop Bear Canister from order ORD-30005 arrived with a cracked lid seal. He is responding to support’s proposed remedies and selecting the replacement option.,6611c30a9c9c1d69812ca83ecedfa06550f4286e03f6b272f4dc805a7004e76d,pass,
62,cal-006,b,requested_action,owner,Re: Options for your cracked bear canister,"Ship a replacement Ridgetop Bear Canister at no charge, per the option the customer selected.","Send a replacement canister at no charge, as requested by the customer.",0f20e42fdaf497104d307e3cac179bdab425f2a27c0ad80d81cc0d211a57d3cd,pass,
63,cal-007,b,issue_summary,owner,Re: Return for Wayfinder GPS Watch,Customer changed their mind about returning the Wayfinder GPS Watch (order ORD-30006) and no longer wants to send it back.,The customer decided not to return the Wayfinder GPS Watch and instead wants the amount paid applied as store credit. The watch will be kept as a backup.,864cd963bb4c8ab58d9157418172d82d5eb1331b7ee7f37868f4c9ec92571ab8,pass,
64,cal-007,b,requested_action,owner,Re: Return for Wayfinder GPS Watch,Issue store credit for the watch's value instead of processing the return; the customer will keep the watch.,Apply store credit for the full amount paid for order ORD-30006 instead of processing the return or refund. The customer wants to keep the watch.,5556e7c505d68717c33cb5e4df59c342596f4b861a2daa960e80b55d8438eadd,pass,
65,cal-008,b,issue_summary,owner,Re: Re: Re: Order status,Customer is following up on a shipping delay for order ORD-30007 (Switchback Trekking Poles) with no progress reported.,The customer is following up on a delayed order and says there has been no progress or update on the shipment. The tracking page still has not changed and fulfillment is still investigating the holdup.,3e4ef1c5c8d486e8e543b33ddd62ec7eff744eee07bf60b9db0f5f95a7f3acf0,pass,
66,cal-008,b,requested_action,owner,Re: Re: Re: Order status,Provide an update on the delayed order.,The customer wants an update on the status of order ORD-30007 and wants support to resolve the shipping delay. He is asking for progress information and for the team to circle back with concrete news as soon as possible.,14f65b66ef28e032d559077b1dd28887aeb125a48ce0e88ce9c8f61e2915fa3b,pass,
