row,item_id,candidate,field,annotator,email_subject,reference_value,candidate_value,output_sha256,verdict,critique
1,cal-026,a,issue_summary,owner,Two separate Ridgeline accounts under my name,"Customer has two separate Ridgeline accounts under different emails, splitting their order history and rewards points, and wants them merged into one.",The customer has two separate accounts under the same email address—one created as a guest checkout and another created later with a password—resulting in split order history and rewards points.,745ee59df3d0101e025706bccdd64bf5081f907e1b717a3186aef3cfcc984fea,,
2,cal-026,a,requested_action,owner,Two separate Ridgeline accounts under my name,Merge the customer's two accounts into a single account.,Look into the customer's account history to help clarify the situation.,60480afacc8a4b3c754d29e2c6b78087c0f58345aa7e468e4e82cdc57e50285b,,
3,cal-027,a,issue_summary,owner,Need this before my permit window opens - Order ORD-30023,"Order ORD-30023 (Ridgetop Bear Canister) has shown no tracking movement for four days and the customer needs it before their backcountry permit window opens Monday, July 20th.","Order ORD-30023 containing the Ridgetop Bear Canister must arrive before the customer's backcountry permit window opens on Monday, July 20th.",33abccd6dca00be29237323d86e4a5582dccbcd9b84f213da3f4366a89dbe140,,
4,cal-027,a,requested_action,owner,Need this before my permit window opens - Order ORD-30023,Check on the shipment and ensure it arrives before the permit window opens.,Check on the order status and note that the shipment is on track to arrive well before the permit window opens.,ca54e9dd8d46ff378a98dc3fb97e389d56a7c4f2b4004be82a520be0f6fd1027,,
5,cal-028,a,issue_summary,owner,Quick note on my gloves before a trip,The wrist cinch cord on one of the Frostline Insulated Gloves (order ORD-30024) has snapped off.,The customer is preparing for a cold-weather trip next month and reviewing their gear.,a37065615447668409ac3c9f65fd753cd80d897b83d5e29277c68829270caa81,,
6,cal-028,a,requested_action,owner,Quick note on my gloves before a trip,Send a replacement pair of Frostline Insulated Gloves.,Send a replacement pair of Alpine Trekking Gloves before the customer's cold-weather trip next month.,700765b5dc139b0a97993f37ad1ac66bf7231edf0f3176cfcda30125896dc425,,
7,cal-029,a,issue_summary,owner,Charged twice for my tent order,"Customer was charged twice for order ORD-30025 (Cascade 2-Person Tent), two identical $189.00 charges on the same day.","The customer was charged twice for order ORD-30025, with two identical charges of $189.00 posted on the same day, and believes this was caused by a known billing system glitch affecting multiple customers.",280236da0369ac31a642ac0054afcd4eb0bbacaa11a08be4f7808b7a50a0fde0,,
8,cal-029,a,requested_action,owner,Charged twice for my tent order,Refund the duplicate charge.,Investigate the duplicate charge on the customer's account.,9c3c5bb56acca44470a4c039f5b47d8c2bbff198ea3a52e322ddd1258938a9af,,
9,cal-030,a,issue_summary,owner,Question about a trade-in or recycling program,Customer is asking whether Ridgeline offers a trade-in or recycling program for old gear.,Customer is inquiring about returning a defective item for a refund.,dc7974fa53960f689a6ac836d0b69fd3e9aacad78323ae8f8100573bc7546964,,
10,cal-030,a,requested_action,owner,Question about a trade-in or recycling program,Explain whether Ridgeline offers a gear trade-in or recycling program.,Provide information about whether Ridgeline has a trade-in or recycling program available for customers with worn-out items.,9738751238f119a49f903d5a6f7eb1c961b5b98415d243a63bcd3eed2a247e82,,
11,cal-031,a,issue_summary,owner,Two problems with my camp lantern - Order ORD-30026,The Lowland Camp Lantern (order ORD-30026) has two defects: the hanging hook clip has snapped off and the light flickers intermittently even with fresh batteries.,The Lowland Camp Lantern arrived with a snapped hanging hook clip.,d84d281adbd1adae9709504b8cd721cae4a66169131fe957c08df40acc275e0a,,
12,cal-031,a,requested_action,owner,Two problems with my camp lantern - Order ORD-30026,Send a replacement lantern or advise on other available options.,Send a replacement lantern or inform the customer of other available options.,1c72ab022525428d37af9a20481933819d4e6c7ebc67ce29980fb41a07e9fe4b,,
