row,item_id,candidate,field,annotator,email_subject,reference_value,candidate_value,output_sha256,verdict,critique
1,cal-001,a,issue_summary,second-annotator,Charged twice for my Granite Hip Pack order,"Customer was charged twice for order ORD-30001 (Granite Hip Pack 20L), two identical $54.00 charges on the same day.","The customer was charged twice for order ORD-30001, with two identical charges of $54.00 posted on the same day.",5e6bb3c81a98d2d97e27d520356dd097fed71ad9a932b51021177567d8ae116f,,
2,cal-001,a,requested_action,second-annotator,Charged twice for my Granite Hip Pack order,Refund the duplicate charge.,Refund the extra charge from the duplicate transaction.,56e677160d71a33ef645cb07efc1939c25f43b07de797e2231bf26ff2a76b181,,
3,cal-002,a,issue_summary,second-annotator,Can't reset my Ridgeline account password,Customer cannot reset their Ridgeline account password; the reset emails they requested never arrive.,Customer cannot reset their Ridgeline account password; the password reset email is not arriving despite multiple requests and checking spam folder.,ac192f09b6d3fcf3b922b4b83600f044b6ab1d4380226ed4f15ebc6e783b7e8f,,
4,cal-002,a,requested_action,second-annotator,Can't reset my Ridgeline account password,Help restore the customer's access to their account.,Regain access to the Ridgeline account by resolving the password reset issue.,b9a42452438f9b62f763a84dbf637d67dbb18fa6b0db751a2fa504acdc116bc9,,
5,cal-003,a,issue_summary,second-annotator,Still waiting on my refund,Customer's refund for the returned Basecamp Cook Set (order ORD-30002) has not posted three weeks after the return was confirmed received.,"Customer returned the Basecamp Cook Set from order ORD-30002 on June 18th and received confirmation of receipt, but the refund has not appeared on their card after three weeks.",597e53cb7347f697ac51d0820d16afd6130280c2356c0b80599b6cdf365c6394,,
6,cal-003,a,requested_action,second-annotator,Still waiting on my refund,Process the pending refund for the returned item.,Process and complete the refund for the returned Basecamp Cook Set at the earliest convenience.,871f1ca1b875f59076cfd68b4287453fba46827495eac56cc87c72b43d41d807,,
7,cal-004,a,issue_summary,second-annotator,Checking on a shipment plus a gaiter question,Order ORD-30003 (Ridgeline Trail Gaiters) was marked shipped nine days ago but the carrier's tracking shows no scan since then.,"Order ORD-30003 was marked as shipped nine days ago, but the carrier's tracking page shows no scan activity since then, and the customer is uncertain of the package's current location.",11aeaaa844117b4db3728502df60f32d938b9d95519121cd9bc04d0efdc7e1fb,,
8,cal-004,a,requested_action,second-annotator,Checking on a shipment plus a gaiter question,Look into where the shipment actually is.,Look into the shipment status and determine where the order actually is.,778a105e7f0e17ec9ad2f11f3c470a3f0fa857830e9ad3451260e7213f2d6c75,,
9,cal-005,a,issue_summary,second-annotator,About my rain poncho order,"Customer's Horizon Rain Poncho (order ORD-30004) is too snug to fit over a jacket, and they want to exchange it for a larger size rather than receive a refund.",The Horizon Rain Poncho is too snug to fit over a jacket as needed.,1b5bfce659fb9957d868b0c121199e042da380b381dba8e08c3d9665c95e301b,,
10,cal-005,a,requested_action,second-annotator,About my rain poncho order,Exchange the Horizon Rain Poncho from order ORD-30004 for a size large.,Exchange the poncho for a size large.,6e4ac8f89c7ec56937233dc4a6f8dbe388625131382fd371bf92d443ec37ac4b,,
11,cal-006,a,issue_summary,second-annotator,Re: Options for your cracked bear canister,Customer's Ridgetop Bear Canister (order ORD-30005) arrived with a cracked lid seal and they are accepting the offered replacement.,The Ridgetop Bear Canister arrived with a cracked lid seal.,8d0b6baa12ddaa7e51c8a9b23b372a186c8844b45afe191f752d96a059d67252,,
12,cal-006,a,requested_action,second-annotator,Re: Options for your cracked bear canister,"Ship a replacement Ridgetop Bear Canister at no charge, per the option the customer selected.",Send a replacement canister at no charge.,0fdbc029ea13591e34c90ceaedd85b644da4839bf52d336e7341f6345fe5bbb1,,
13,cal-007,a,issue_summary,second-annotator,Re: Return for Wayfinder GPS Watch,Customer changed their mind about returning the Wayfinder GPS Watch (order ORD-30006) and no longer wants to send it back.,"Customer originally requested a return for the Wayfinder GPS Watch due to display brightness concerns, but has now decided to keep the watch instead.",725a60729a151a006d4ff406132d4cbc02711235211555985e9187096a2b1af4,,
14,cal-007,a,requested_action,second-annotator,Re: Return for Wayfinder GPS Watch,Issue store credit for the watch's value instead of processing the return; the customer will keep the watch.,Apply store credit for the full purchase price of the Wayfinder GPS Watch rather than processing a return.,7b8c5fda765b82e7db7bd75a62638294c8bc784d0549363694e18e94920ca005,,
15,cal-008,a,issue_summary,second-annotator,Re: Re: Re: Order status,Customer is following up on a shipping delay for order ORD-30007 (Switchback Trekking Poles) with no progress reported.,"Order ORD-30007 has been awaiting shipment with no tracking progress for several days, and the customer has not received an update on the fulfillment status.",5225251d3b3090b6f1b8f264145bfae1095e4ba625a4add8d9b318bfc4087be3,,
16,cal-008,a,requested_action,second-annotator,Re: Re: Re: Order status,Provide an update on the delayed order.,Provide an update on the order status and resolve the shipping delay.,a59e7914bf8bdac2ec28fa53c38ca0e7646515646c0001ad0420a97e71165cc5,,
17,cal-009,a,issue_summary,second-annotator,Re: Re: Order ORD-30008 update,"Customer is following up on a shipping delay for order ORD-30008 (Cairn Daypack 30L), with no ship date a week after the last update.","Order ORD-30008 for the Cairn Daypack 30L has not yet shipped after a week, and the customer has not received a ship date despite a previous support response indicating a follow-up would occur within a few business days.",feb89f23427340fd794950a8a9f889760e95ae24e117aa0ec4f7f552190755e6,,
18,cal-009,a,requested_action,second-annotator,Re: Re: Order ORD-30008 update,Provide an update on the delayed order.,Provide an update on the order status and ship date for order ORD-30008.,83dcb7f62b13b8d5df02ae5477b78c108771131b28fd98168086dffaba1f2a10,,
19,cal-010,a,issue_summary,second-annotator,Question and quick issue before my trip,The flint striker handle on the Cinder Fire Starter Kit (order ORD-30009) is cracked and may fail with further use.,"The flint striker on the Cinder Fire Starter Kit has a crack running through the handle, which poses a risk of breaking during use.",dd8feb827c3dc32fbc8ba32b1b115b926080f1e94409736b87be65473afdcbd7,,
20,cal-010,a,requested_action,second-annotator,Question and quick issue before my trip,Send a replacement Cinder Fire Starter Kit.,Send a replacement fire starter kit before the customer's backcountry trip in a few weeks.,7bf58aef00a0cfad5146d0342c83cb3e497827ea56a7702d1767a4b9b4a2405d,,
21,cal-011,a,issue_summary,second-annotator,Question about my long order history + today's delivery,The Overlook Binoculars from order ORD-30010 arrived without the rubber eyepiece cover that should have been included.,"The Overlook Binoculars arrived in order ORD-30010, but the rubber eyepiece cover that should have been included in the box was missing.",40ff735a3b9e3fdeaacc7c717f5c3971109c3f8fc05766c443cb13ed9d15d1db,,
